# generated_at_utc=2026-04-29T14:58:57+00:00
# node20_url=https://nodejs.org/download/release/latest-v20.x/docs/api/all.json
# node20_etag="6ad7aab45da329642a1c43356a17c3b3"
# node20_last_modified=Tue, 24 Mar 2026 03:28:14 GMT
# node22_url=https://nodejs.org/download/release/latest-v22.x/docs/api/all.json
# node22_etag="b205ea07cce12bde5a37c9b12078c400"
# node22_last_modified=Tue, 24 Mar 2026 04:15:15 GMT
# deno_compat_url=https://docs.deno.com/runtime/reference/node_apis/
# deno_compat_etag=W/"1b985-9UvrDk5GwfdlaQ/w1Oe4efXtGhp"
# deno_compat_last_modified=Wed, 22 Apr 2026 13:34:59 GMT
# deno_repo=/Users/jack/src/github.com/agentstation/deno
# deno_git_branch=locker-v2.7.14
# deno_git_commit=a2cc5bfdc77713c9028709f386dbd671dd3f1150
# generator_path=scripts/runtime/node/generate_matrix.py
module,symbol,kind,node20_status,node22_status,added_in,deprecated_in,deno_coverage,verification_status,notes,compatibility_target,runtime_preset,support_state,verification_lane
node:async_hooks,async_hooks.AsyncResource.triggerAsyncId,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.createHook,method,stable,stable,v8.1.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.createHook,method,stable,stable,v8.1.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:buffer,buffer.Blob,class,stable,stable,v15.7.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:buffer,buffer.Blob,class,stable,stable,v15.7.0,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:buffer,buffer.Blob.arrayBuffer,method,stable,stable,v15.7.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:buffer,buffer.Blob.arrayBuffer,method,stable,stable,v15.7.0,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:buffer,buffer.Blob.bytes,method,stable,stable,v22.3.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:buffer,buffer.Blob.bytes,method,stable,stable,v22.3.0,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:buffer,buffer.Blob.slice,method,stable,stable,v15.7.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
