# generated_at_utc=2026-04-29T14:58:57+00:00
# node20_url=https://nodejs.org/download/release/latest-v20.x/docs/api/all.json
# node20_etag="6ad7aab45da329642a1c43356a17c3b3"
# node20_last_modified=Tue, 24 Mar 2026 03:28:14 GMT
# node22_url=https://nodejs.org/download/release/latest-v22.x/docs/api/all.json
# node22_etag="b205ea07cce12bde5a37c9b12078c400"
# node22_last_modified=Tue, 24 Mar 2026 04:15:15 GMT
# deno_compat_url=https://docs.deno.com/runtime/reference/node_apis/
# deno_compat_etag=W/"1b985-9UvrDk5GwfdlaQ/w1Oe4efXtGhp"
# deno_compat_last_modified=Wed, 22 Apr 2026 13:34:59 GMT
# deno_repo=/Users/jack/src/github.com/agentstation/deno
# deno_git_branch=locker-v2.7.14
# deno_git_commit=a2cc5bfdc77713c9028709f386dbd671dd3f1150
# generator_path=scripts/runtime/node/generate_matrix.py
module,symbol,kind,node20_status,node22_status,added_in,deprecated_in,deno_coverage,verification_status,notes,compatibility_target,runtime_preset,support_state,verification_lane
node:assert,assert.notDeepEqual,method,stable,stable,v0.1.21,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.notDeepStrictEqual,method,stable,stable,v1.2.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.notDeepStrictEqual,method,stable,stable,v1.2.0,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.notEqual,method,stable,stable,v0.1.21,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.notEqual,method,stable,stable,v0.1.21,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.notStrictEqual,method,stable,stable,v0.1.21,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.notStrictEqual,method,stable,stable,v0.1.21,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.ok,method,stable,stable,v0.1.21,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.ok,method,stable,stable,v0.1.21,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.partialDeepStrictEqual,method,,stable,v22.13.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.partialDeepStrictEqual,method,,stable,v22.13.0,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.rejects,method,stable,stable,v10.0.0,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.rejects,method,stable,stable,v10.0.0,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.strictEqual,method,stable,stable,v0.1.21,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.strictEqual,method,stable,stable,v0.1.21,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:assert,assert.throws,method,stable,stable,v0.1.21,,NeedsVerification,NeedsVerification,,Node22,Application,NeedsVerification,pending-node-upstream
node:assert,assert.throws,method,stable,stable,v0.1.21,,NeedsVerification,NeedsVerification,,Node22,Tooling,NeedsVerification,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook,class,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook,class,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.after,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.after,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.before,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.before,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.destroy,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.destroy,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.disable,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.disable,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.enable,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.enable,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.executionAsyncId,method,stable,stable,v8.1.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.executionAsyncId,method,stable,stable,v8.1.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.executionAsyncResource,method,stable,stable,v13.9.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.executionAsyncResource,method,stable,stable,v13.9.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.init,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.init,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.promiseResolve,method,stable,stable,v8.6.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.promiseResolve,method,stable,stable,v8.6.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.triggerAsyncId,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncHook.triggerAsyncId,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncLocalStorage,class,stable,stable,v13.10.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncLocalStorage,class,stable,stable,v13.10.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncLocalStorage.disable,method,experimental,experimental,v13.10.0,,ImplementedPartial,NeedsVerification,Experimental | AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncLocalStorage.disable,method,experimental,experimental,v13.10.0,,ImplementedPartial,NeedsVerification,Experimental | AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncLocalStorage.enterWith,method,experimental,experimental,v13.11.0,,ImplementedPartial,NeedsVerification,Experimental | AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncLocalStorage.enterWith,method,experimental,experimental,v13.11.0,,ImplementedPartial,NeedsVerification,Experimental | AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncLocalStorage.exit,method,experimental,experimental,v13.10.0,,ImplementedPartial,NeedsVerification,Experimental | AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncLocalStorage.exit,method,experimental,experimental,v13.10.0,,ImplementedPartial,NeedsVerification,Experimental | AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncLocalStorage.getStore,method,stable,stable,v13.10.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncLocalStorage.getStore,method,stable,stable,v13.10.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncLocalStorage.run,method,stable,stable,v13.10.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncLocalStorage.run,method,stable,stable,v13.10.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncResource,class,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncResource,class,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncResource.asyncId,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncResource.asyncId,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncResource.bind,method,stable,stable,v14.8.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncResource.bind,method,stable,stable,v14.8.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncResource.emitDestroy,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncResource.emitDestroy,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncResource.runInAsyncScope,method,stable,stable,v9.6.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncResource.runInAsyncScope,method,stable,stable,v9.6.0,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Tooling,Partial,pending-node-upstream
node:async_hooks,async_hooks.AsyncResource.triggerAsyncId,method,stable,stable,,,ImplementedPartial,NeedsVerification,AsyncResource: The AsyncResource implementation is a non-functional stub. | executionAsyncId: The executionAsyncId implementation is a non-functional stub. | createHook: The createHook implementation is a non-functional stub.,Node22,Application,Partial,pending-node-upstream
