# generated_at_utc=2026-04-29T14:58:57+00:00
# node20_url=https://nodejs.org/download/release/latest-v20.x/docs/api/all.json
# node20_etag="6ad7aab45da329642a1c43356a17c3b3"
# node20_last_modified=Tue, 24 Mar 2026 03:28:14 GMT
# node22_url=https://nodejs.org/download/release/latest-v22.x/docs/api/all.json
# node22_etag="b205ea07cce12bde5a37c9b12078c400"
# node22_last_modified=Tue, 24 Mar 2026 04:15:15 GMT
# deno_compat_url=https://docs.deno.com/runtime/reference/node_apis/
# deno_compat_etag=W/"1b985-9UvrDk5GwfdlaQ/w1Oe4efXtGhp"
# deno_compat_last_modified=Wed, 22 Apr 2026 13:34:59 GMT
# deno_repo=/Users/jack/src/github.com/agentstation/deno
# deno_git_branch=locker-v2.7.14
# deno_git_commit=a2cc5bfdc77713c9028709f386dbd671dd3f1150
# generator_path=scripts/runtime/node/generate_matrix.py
module,source_present,implementation_path,docs_status,docs_text,docs_notes
node:perf_hooks,yes,ext/node/polyfills/perf_hooks.js,partial,performance : The eventLoopUtilization method is a non-functional stub. The timerify method is not implemented. monitorEventLoopDelay : This symbol is not implemented.,performance: The eventLoopUtilization method is a non-functional stub. The timerify method is not implemented. | monitorEventLoopDelay: This symbol is not implemented.
node:process,yes,ext/node/polyfills/process.ts,partial,The multipleResolves and worker events are not supported.,
node:punycode,yes,ext/node/polyfills/punycode.ts,supported,,
node:querystring,yes,ext/node/polyfills/querystring.js,supported,,
node:readline,yes,ext/node/polyfills/readline.ts,supported,,
node:repl,yes,ext/node/polyfills/repl.ts,partial,All symbols are not supported. All symbols : This symbol is not supported.,All symbols: This symbol is not supported.
node:sea,no,,partial,All symbols are not supported. All symbols : This symbol is not supported.,All symbols: This symbol is not supported.
node:sqlite,yes,ext/node/polyfills/sqlite.ts,partial,This module has been added in Deno v2.2.,
node:stream,yes,ext/node/polyfills/stream.ts,supported,,
node:string_decoder,yes,ext/node/polyfills/string_decoder.ts,supported,,
node:sys,yes,ext/node/polyfills/sys.ts,not_listed,,
node:test,yes,ext/node/polyfills/testing.ts,supported,,
node:test/reporters,no,,not_listed,,
node:timers,yes,ext/node/polyfills/timers.ts,supported,,
node:tls,yes,ext/node/polyfills/tls.ts,partial,createSecurePair : This symbol is currently not supported.,createSecurePair: This symbol is currently not supported.
node:trace_events,yes,ext/node/polyfills/trace_events.ts,stub-only,All exports are non-functional stubs. All symbols : This symbol is a non-functional stub.,All symbols: This symbol is a non-functional stub.
node:tty,yes,ext/node/polyfills/tty.js,supported,,
node:url,yes,ext/node/polyfills/url.ts,supported,,
node:util,yes,ext/node/polyfills/util.ts,partial,transferableAbortSignal : This symbol is currently not supported. transferableAbortController : This symbol is currently not supported. MIMEParams : This symbol is currently not supported. MIMEType : This symbol is currently not supported. getSystemErrorMap : This symbol is currently not supported.,transferableAbortSignal: This symbol is currently not supported. | transferableAbortController: This symbol is currently not supported. | MIMEParams: This symbol is currently not supported. | MIMEType: This symbol is currently not supported. | getSystemErrorMap: This symbol is currently not supported.
node:v8,yes,ext/node/polyfills/v8.ts,partial,"cachedDataVersionTag and getHeapStatistics , serialize and deserialize are supported. setFlagsFromStrings is a noop. Other APIs are not supported and will throw and error. setFlagsFromStrings : This function is a noop.",setFlagsFromStrings: This function is a noop.
node:vm,yes,ext/node/polyfills/vm.js,partial,measureMemory : This is a non-functional stub. compile : The importModuleDynamically parameter is not supported. createContext : The importModuleDynamically parameter is not supported. Script : The importModuleDynamically parameter is not supported. The runInContext method does not support break on SIGINT .,measureMemory: This is a non-functional stub. | compile: The importModuleDynamically parameter is not supported. | createContext: The importModuleDynamically parameter is not supported. | Script: The importModuleDynamically parameter is not supported. The runInContext method does not support break on SIGINT .
node:wasi,yes,ext/node/polyfills/wasi.ts,stub-only,All exports are non-functional stubs. All symbols : This symbol is a non-functional stub.,All symbols: This symbol is a non-functional stub.
node:worker_threads,yes,ext/node/polyfills/worker_threads.ts,partial,parentPort : The emit method is not supported. The removeAllListeners method is not supported. markAsUntransferable : This symbol is not supported. moveMessagePortToContext : This symbol is not supported. receiveMessageOnPort : This symbol is not supported. Worker : The getHeapSnapshot method is not supported.,parentPort: The emit method is not supported. The removeAllListeners method is not supported. | markAsUntransferable: This symbol is not supported. | moveMessagePortToContext: This symbol is not supported. | receiveMessageOnPort: This symbol is not supported. | Worker: The getHeapSnapshot method is not supported.
node:zlib,yes,ext/node/polyfills/zlib.js,partial,Options : This class is not supported. BrotliOptions : This class is not supported. BrotliCompress : This class is not supported. BrotliDecompress : This class is not supported. ZlibBase : This class is not supported.,Options: This class is not supported. | BrotliOptions: This class is not supported. | BrotliCompress: This class is not supported. | BrotliDecompress: This class is not supported. | ZlibBase: This class is not supported.
