# generated_at_utc=2026-04-29T14:58:57+00:00
# node20_url=https://nodejs.org/download/release/latest-v20.x/docs/api/all.json
# node20_etag="6ad7aab45da329642a1c43356a17c3b3"
# node20_last_modified=Tue, 24 Mar 2026 03:28:14 GMT
# node22_url=https://nodejs.org/download/release/latest-v22.x/docs/api/all.json
# node22_etag="b205ea07cce12bde5a37c9b12078c400"
# node22_last_modified=Tue, 24 Mar 2026 04:15:15 GMT
# deno_compat_url=https://docs.deno.com/runtime/reference/node_apis/
# deno_compat_etag=W/"1b985-9UvrDk5GwfdlaQ/w1Oe4efXtGhp"
# deno_compat_last_modified=Wed, 22 Apr 2026 13:34:59 GMT
# deno_repo=/Users/jack/src/github.com/agentstation/deno
# deno_git_branch=locker-v2.7.14
# deno_git_commit=a2cc5bfdc77713c9028709f386dbd671dd3f1150
# generator_path=scripts/runtime/node/generate_matrix.py
module,symbol,kind,added_in,deprecated_in,node_status,notes
node:buffer,buffer.Buffer.readUInt16BE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.readUInt16LE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.readUInt32BE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.readUInt32LE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.readUInt8,method,v0.5.0,,stable,
node:buffer,buffer.Buffer.readUIntBE,method,v0.11.15,,stable,
node:buffer,buffer.Buffer.readUIntLE,method,v0.11.15,,stable,
node:buffer,buffer.Buffer.slice,method,v0.3.0,,deprecated,Deprecated: Use [`buf.subarray`][] instead.
node:buffer,buffer.Buffer.subarray,method,v3.0.0,,stable,
node:buffer,buffer.Buffer.swap16,method,v5.10.0,,stable,
node:buffer,buffer.Buffer.swap32,method,v5.10.0,,stable,
node:buffer,buffer.Buffer.swap64,method,v6.3.0,,stable,
node:buffer,buffer.Buffer.toJSON,method,v0.9.2,,stable,
node:buffer,buffer.Buffer.toString,method,v0.1.90,,stable,
node:buffer,buffer.Buffer.values,method,v1.1.0,,stable,
node:buffer,buffer.Buffer.write,method,v0.1.90,,stable,
node:buffer,buffer.Buffer.writeBigInt64BE,method,v12.0.0,,stable,
node:buffer,buffer.Buffer.writeBigInt64LE,method,v12.0.0,,stable,
node:buffer,buffer.Buffer.writeBigUInt64BE,method,v12.0.0,,stable,
node:buffer,buffer.Buffer.writeBigUInt64LE,method,v12.0.0,,stable,
node:buffer,buffer.Buffer.writeDoubleBE,method,v0.11.15,,stable,
node:buffer,buffer.Buffer.writeDoubleLE,method,v0.11.15,,stable,
node:buffer,buffer.Buffer.writeFloatBE,method,v0.11.15,,stable,
node:buffer,buffer.Buffer.writeFloatLE,method,v0.11.15,,stable,
node:buffer,buffer.Buffer.writeInt16BE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.writeInt16LE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.writeInt32BE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.writeInt32LE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.writeInt8,method,v0.5.0,,stable,
node:buffer,buffer.Buffer.writeIntBE,method,v0.11.15,,stable,
node:buffer,buffer.Buffer.writeIntLE,method,v0.11.15,,stable,
node:buffer,buffer.Buffer.writeUInt16BE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.writeUInt16LE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.writeUInt32BE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.writeUInt32LE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.writeUInt8,method,v0.5.0,,stable,
node:buffer,buffer.Buffer.writeUIntBE,method,v0.5.5,,stable,
node:buffer,buffer.Buffer.writeUIntLE,method,v0.5.5,,stable,
node:buffer,buffer.File,class,v19.2.0,,stable,
node:buffer,buffer.SlowBuffer,class,,,deprecated,Deprecated: Use [`Buffer.allocUnsafeSlow()`][] instead.
node:buffer,buffer.atob,method,v15.13.0,,stable,"Legacy. Use `Buffer.from(data, 'base64')` instead."
node:buffer,buffer.btoa,method,v15.13.0,,stable,Legacy. Use `buf.toString('base64')` instead.
node:buffer,buffer.isAscii,method,v19.6.0,,stable,
node:buffer,buffer.isUtf8,method,v19.4.0,,stable,
node:buffer,buffer.resolveObjectURL,method,v16.7.0,,stable,
node:buffer,buffer.transcode,method,v7.1.0,,stable,
node:child_process,child_process.ChildProcess,class,v2.2.0,,stable,
node:child_process,child_process.ChildProcess.[Symbol.dispose],method,v20.5.0,,experimental,Experimental
node:child_process,child_process.ChildProcess.close,event,v0.7.7,,stable,
node:child_process,child_process.ChildProcess.disconnect,event,v0.7.2,,stable,
node:child_process,child_process.ChildProcess.disconnect,method,v0.7.2,,stable,
node:child_process,child_process.ChildProcess.error,event,,,stable,
node:child_process,child_process.ChildProcess.exit,event,v0.1.90,,stable,
node:child_process,child_process.ChildProcess.kill,method,v0.1.90,,stable,
node:child_process,child_process.ChildProcess.message,event,v0.5.9,,stable,
node:child_process,child_process.ChildProcess.ref,method,v0.7.10,,stable,
node:child_process,child_process.ChildProcess.send,method,v0.5.9,,stable,
node:child_process,child_process.ChildProcess.spawn,event,v15.1.0,,stable,
node:child_process,child_process.ChildProcess.unref,method,v0.7.10,,stable,
node:child_process,child_process.exec,method,v0.1.90,,stable,
node:child_process,child_process.execFile,method,v0.1.91,,stable,
node:child_process,child_process.execFileSync,method,v0.11.12,,stable,
node:child_process,child_process.execSync,method,v0.11.12,,stable,
node:child_process,child_process.fork,method,v0.5.0,,stable,
node:child_process,child_process.spawn,method,v0.1.90,,stable,
node:child_process,child_process.spawnSync,method,v0.11.12,,stable,
node:cluster,cluster.Worker,class,v0.7.0,,stable,
node:cluster,cluster.Worker.disconnect,event,v0.7.7,,stable,
node:cluster,cluster.Worker.disconnect,method,v0.7.7,,stable,
node:cluster,cluster.Worker.error,event,v0.7.3,,stable,
node:cluster,cluster.Worker.exit,event,v0.11.2,,stable,
node:cluster,cluster.Worker.isConnected,method,v0.11.14,,stable,
node:cluster,cluster.Worker.isDead,method,v0.11.14,,stable,
node:cluster,cluster.Worker.kill,method,v0.9.12,,stable,
node:cluster,cluster.Worker.listening,event,v0.7.0,,stable,
node:cluster,cluster.Worker.message,event,v0.7.0,,stable,
node:cluster,cluster.Worker.online,event,v0.7.0,,stable,
node:cluster,cluster.Worker.send,method,v0.7.0,,stable,
node:cluster,cluster.disconnect,event,v0.7.9,,stable,
node:cluster,cluster.disconnect,method,v0.7.7,,stable,
node:cluster,cluster.exit,event,v0.7.9,,stable,
node:cluster,cluster.fork,event,v0.7.0,,stable,
node:cluster,cluster.fork,method,v0.6.0,,stable,
node:cluster,cluster.listening,event,v0.7.0,,stable,
node:cluster,cluster.message,event,v2.5.0,,stable,
node:cluster,cluster.online,event,v0.7.0,,stable,
node:cluster,cluster.setup,event,v0.7.1,,stable,
node:cluster,cluster.setupMaster,method,v0.7.1,,deprecated,Deprecated
node:cluster,cluster.setupPrimary,method,v16.0.0,,stable,
node:console,console.Console,class,,,stable,
node:console,console.Console.assert,method,v0.1.101,,stable,
node:console,console.Console.clear,method,v8.3.0,,stable,
node:console,console.Console.count,method,v8.3.0,,stable,
node:console,console.Console.countReset,method,v8.3.0,,stable,
node:console,console.Console.debug,method,v8.0.0,,stable,
node:console,console.Console.dir,method,v0.1.101,,stable,
node:console,console.Console.dirxml,method,v8.0.0,,stable,
node:console,console.Console.error,method,v0.1.100,,stable,
node:console,console.Console.group,method,v8.5.0,,stable,
node:console,console.Console.groupCollapsed,method,v8.5.0,,stable,
node:console,console.Console.groupEnd,method,v8.5.0,,stable,
node:console,console.Console.info,method,v0.1.100,,stable,
node:console,console.Console.log,method,v0.1.100,,stable,
node:console,console.Console.table,method,v10.0.0,,stable,
