# generated_at_utc=2026-04-29T14:58:57+00:00
# node20_url=https://nodejs.org/download/release/latest-v20.x/docs/api/all.json
# node20_etag="6ad7aab45da329642a1c43356a17c3b3"
# node20_last_modified=Tue, 24 Mar 2026 03:28:14 GMT
# node22_url=https://nodejs.org/download/release/latest-v22.x/docs/api/all.json
# node22_etag="b205ea07cce12bde5a37c9b12078c400"
# node22_last_modified=Tue, 24 Mar 2026 04:15:15 GMT
# deno_compat_url=https://docs.deno.com/runtime/reference/node_apis/
# deno_compat_etag=W/"1b985-9UvrDk5GwfdlaQ/w1Oe4efXtGhp"
# deno_compat_last_modified=Wed, 22 Apr 2026 13:34:59 GMT
# deno_repo=/Users/jack/src/github.com/nimbus/deno
# deno_git_branch=locker-v2.7.14
# deno_git_commit=a2cc5bfdc77713c9028709f386dbd671dd3f1150
# generator_path=scripts/runtime/node/generate_matrix.py
module,symbol,kind,delta,node20_status,node22_status,node20_added_in,node22_added_in
node:buffer,buffer.Buffer.fill,method,unchanged,stable,stable,v0.5.0,v0.5.0
node:buffer,buffer.Buffer.includes,method,unchanged,stable,stable,v5.3.0,v5.3.0
node:buffer,buffer.Buffer.indexOf,method,unchanged,stable,stable,v1.5.0,v1.5.0
node:buffer,buffer.Buffer.keys,method,unchanged,stable,stable,v1.1.0,v1.1.0
node:buffer,buffer.Buffer.lastIndexOf,method,unchanged,stable,stable,v6.0.0,v6.0.0
node:buffer,buffer.Buffer.readBigInt64BE,method,unchanged,stable,stable,v12.0.0,v12.0.0
node:buffer,buffer.Buffer.readBigInt64LE,method,unchanged,stable,stable,v12.0.0,v12.0.0
node:buffer,buffer.Buffer.readBigUInt64BE,method,unchanged,stable,stable,v12.0.0,v12.0.0
node:buffer,buffer.Buffer.readBigUInt64LE,method,unchanged,stable,stable,v12.0.0,v12.0.0
node:buffer,buffer.Buffer.readDoubleBE,method,unchanged,stable,stable,v0.11.15,v0.11.15
node:buffer,buffer.Buffer.readDoubleLE,method,unchanged,stable,stable,v0.11.15,v0.11.15
node:buffer,buffer.Buffer.readFloatBE,method,unchanged,stable,stable,v0.11.15,v0.11.15
node:buffer,buffer.Buffer.readFloatLE,method,unchanged,stable,stable,v0.11.15,v0.11.15
